idpk,CIK,year,assets,CurrentAssets,NoncurrentAssets,liabilities,CurrentLiabilities,NoncurrentLiabilities,LiabilitiesAndStockholdersEquity,equity,CommonStockValue,RetainedEarningsAccumulatedDeficit,AccumulatedOtherComprehensiveIncomeLoss,MinorityInterest,revenues,SalesRevenueNet,CostOfGoodsSold,GrossProfit,OperatingExpenses,SellingGeneralAndAdministrativeExpense,ResearchAndDevelopmentExpense,OperatingIncomeLoss,InterestExpense,IncomeBeforeIncomeTaxes,IncomeTaxExpenseBenefit,NetIncomeLoss,PreferredStockDividendsAndOtherAdjustments,NetIncomeLossAvailableToCommonStockholdersBasic,EarningsPerShareBasic,EarningsPerShareDiluted,WeightedAverageNumberOfSharesOutstandingBasic,WeightedAverageNumberOfDilutedSharesOutstanding,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInFinancingActivities,CashAndCashEquivalentsPeriodIncreaseDecrease,CashAndCashEquivalentsAtCarryingValue,PaymentsToAcquirePropertyPlantAndEquipment,ProceedsFromIssuanceOfCommonStock,PaymentsOfDividends,RepaymentsOfDebt,ProceedsFromIssuanceOfDebt,DepreciationAndAmortization,InventoryNet,AccountsReceivableNetCurrent,AccountsPayableCurrent,Goodwill,IntangibleAssetsNetExcludingGoodwill,PropertyPlantAndEquipmentNet,LongTermDebtNoncurrent,ShortTermBorrowings,IncomeTaxesPayableCurrent,EntityRegistrantName,EntityCentralIndexKey,TradingSymbol,EntityIncorporationStateCountryCode,EntityFilerCategory,DocumentPeriodEndDate,DocumentFiscalPeriodFocus,DocumentFiscalYearFocus,DocumentType,AmendmentFlag,CurrentFiscalYearEndDate
1,1180145,2014,96897000,89829000,,30065000,22413000,7652000,96897000,21635000,24000,-203275000,,,,,19216000,63274000,77740000,66366000,11374000,-14466000,1356000,,,-16790000,,,,,18035635,18035635,-11340000,-975000,26685000,14370000,21159000,437000,14889000,,,,,6243000,14730000,7230000,,,2999000,7472000,,,,,,,,,,,,,
2,1180145,2015,181901000,162711000,,29846000,29729000,,181901000,32189000,31000,-238565000,,,,,24382000,79515000,101934000,86718000,15216000,-22419000,1345000,,,-24037000,,,,,21685932,21685932,-10765000,-2455000,45588000,32368000,35529000,1672000,38209000,,,,,12890000,21383000,12699000,,,15297000,,,,,,,,,,,,,,
3,1180145,2016,171328000,133894000,,31893000,29888000,,171328000,66832000,32000,-271387000,,,,,31041000,105571000,139060000,117994000,21066000,-33489000,1034000,,,-35290000,,,,,28295758,28295758,-26838000,-13419000,98952000,58695000,67897000,12717000,84369000,,,,,13966000,30830000,9763000,,,32883000,,,,,,,,,,,,,,
4,1180145,2017,142406000,104882000,,41509000,35499000,,142406000,152055000,33000,-327411000,,,,,39520000,142024000,174661000,143684000,30977000,-32637000,23000,,114000,-32822000,,,-0.88,-0.88,31547711,31547711,-22357000,-23027000,2634000,-42750000,126592000,20325000,,,,,,17440000,23128000,8506000,,,32471000,,,,,,,,,,,,,,
5,1180145,2018,193940000,159059000,,75551000,40972000,,193940000,139435000,33000,-329303000,,,,,35421000,142763000,198840000,162542000,25934000,-56077000,0,,92000,-56024000,,,-1.72,-1.72,32537621,32537621,-23583000,-3769000,4148000,-23204000,83842000,3818000,,,,,,16897000,28472000,10736000,,,29696000,,,,,,,,,,,,,,
6,1180145,2019,203352000,167611000,,68882000,37460000,,203352000,100897000,33000,-327591000,,,,,,165465000,167007000,144096000,22911000,-1542000,500000,,86000,-1792000,,,-0.06,-0.06,32373709,32373709,19588000,-1779000,29465000,47274000,60638000,981000,,,,,,16605000,31225000,10441000,,,27744000,,,,,,,,,,,,,,
7,1180145,2020,218577000,180075000,,70633000,42345000,,218577000,118389000,34000,-329536000,,,,,,177559000,175325000,148569000,26552000,2234000,1717000,,132000,1712000,,,0.05,0.05,33145140,33614260,9674000,-5095000,3769000,8348000,107912000,1956000,0,,,,,18058000,36015000,11194000,,,27324000,,,,,,,,,,,,,,
8,1180145,2021,339519000,287689000,,70727000,44506000,,339519000,134470000,39000,-363075000,,,,,,200337000,201162000,167700000,33166000,-825000,1684000,,190000,-255000,,,-0.27,,33969818,33535759,10208000,-54352000,2121000,-8770000,116260000,2665000,0,,,,,27706000,25212000,11539000,,,27810000,,,,,,,,,,,,,,
9,1180145,2022,352567000,284669000,,81609000,54650000,,352567000,147944000,39000,-381380000,,,,,,187786000,214558000,169969000,43355000,-26772000,1973000,,231000,-27236000,,-27236000,-0.79,-0.79,34275957,34275957,-12765000,-8669000,132660000,,185463000,3369000,134979000,,,,,32313000,40033000,14061000,,,28894000,,,,,,,,,,,,,,
10,1180145,2023,322677000,241846000,,73197000,39954000,,322677000,270958000,40000,-423680000,,,,,,44062000,52177000,41851000,10022000,-8115000,410000,,136000,-8618000,,,-0.22,-0.22,39087472,39087472,-10784000,11606000,-5028000,,66424000,1103000,,,,,,34567000,39678000,14383000,,,29035000,,,,,,,,,,,,,,
20,1853717,2022,2245147000,1416217000,828930000,1680532000,1051386000,629146000,2245147000,579426000,,-176403000,,-14811000,,,,,,,33649000,63269000,1481000,,37602000,42051000,,-10830000,-0.06,-0.06,171589918,171589918,118670000,-105527000,48011000,,824546000,112750000,,20645000,78716000,127507000,,58575000,99961000,161277000,17446000,3820000,439015000,43630000,64808000,,,,,,,,,,,,
21,1853717,2023,4762026000,2124659000,2637367000,3574620000,1347614000,2227006000,4762026000,1197305000,,-78304000,,-9899000,,,,,,,52121000,196056000,7937000,,64217000,145054000,,129939000,0.4,0.4,323163367,323163367,417879000,-42225000,-161080000,,1038583000,63973000,,20645000,230430000,218434000,,57460000,132699000,184901000,17446000,5537000,360300000,2000000,142828000,,,,,,,,,,,,
22,1853717,2024,6587025000,4241580000,2345445000,4526936000,2377851000,2149085000,6587025000,2068068000,,507226000,,-7979000,,,,,,,66182000,164960000,1927000,,84474000,98099000,,,0.26,0.26,379321522,381598689,283677000,-192225000,456310000,,1589161000,36425000,,150579,134480000,199000000,,119078000,162101000,594545000,17446000,4247000,266120000,2000000,70000000,,,,,,,,,,,,
30,1867757,2021,149425,35757,,4407242,126115,,149425,0,288,-1690,,,,,,,,,,-278354,,,,-1600,,-10127416,0,0,2500000,2500000,-3885,-115010229,35892,,32007,,,,,,,,,,,,,,,,,,,,,,,,,,
31,1867757,2022,116285019,1274790,,4407242,206381,,116285019,0,331,2803303,,,,,,,,,,-623,,,16472,-623,,-623,0,0,2875000,2875000,-3795,-115000000,75000,,2000000,,,,,,,,,,,,,,,,,,,,,,,,,,
41,1847112,2021,491729,2706524,,518089,383089,,491729,-6602,,-51360,,,,,,,,,,-51360,,,,-31602,,,,,7817308,,-1721926,-345000000,348051037,,1329111,,29430786,,,,,,,,,,,,,,,,,,,,,,,,
42,1847112,2022,347354396,2354396,,26593529,210446,,347354396,-6602,,-24239996,,,,,,,,,,-31602,,,,-31602,,,0.13,,34500000,,-1721926,-345000000,348051037,,1174867,,29430786,,,,,,,,,,,,,,,,,,,,,,,,
43,1847112,2023,350491959,500806,,15511370,151036,,350491959,-24239133,,-14911427,,,,,,,,,,-616565,,,,5811814,,,,,,,-410969,180611926,116,,,,116,,,,,,,30076,,,,,,,,,,,,,,,,,
44,1847112,2024,183775510,497571,,12019386,1518931,,183775510,-14910564,,-11596139,,,,,,,,,,-358723,,,,4910691,,,,,,,-206255,-258971,150000,,,,,,,,,,,652547,,,,,,,,,,,,,,,,,
45,1217234,2014,9873000,8171000,,25344000,7593000,,9873000,-142223000,1000,-160156000,,,20451000,,,,22793000,,4752000,-2342000,,,0,-5059000,,,-5.01,-5.01,1009236,1009236,,,,3473000,2357000,141000,,,12994000,3432260,,518000,,618000,0,0,1553000,10914000,,,,,,,,,,,,,
46,1217234,2015,61141000,40346000,,19843000,11135000,,61141000,-147203000,12000,-159375000,,,22098000,,,,22955000,,3176000,-857000,,,0,-3542000,,,-3.5,-3.5,1010795,1010795,,,,-702000,5830000,98000,,,,3432260,,686000,,1128000,12005000,6650000,1968000,5451000,,,,,,,,,,,,,
47,1217234,2016,63277000,34362000,,26144000,10152000,,55638000,29494000,12000,-173082000,,0,27306000,,0,,26056000,,3846000,1250000,827000,,-1500000,781000,,,0.13,0.1,5815928,9283001,,,,31303000,5128000,733000,,,,,512000,766000,,1644000,12005000,6650000,2425000,14609000,,,,,,,,,,,,,
48,1217234,2017,48834000,26673000,,56969000,40832000,,76730000,19482000,21000,-212553000,,279000,28144000,,0,,40076000,,9333000,-11932000,,,0,-13707000,,,-1.16,-1.16,11860885,11860885,,,,-6543000,36431000,1199000,,,11200000,,796000,5461000,2768000,3065000,13839000,33124000,2931000,11368000,,,,,,,,,,,,,
49,1217234,2018,83565000,26767000,,89519000,42906000,,83565000,-6134000,29000,-268022000,,180000,11584000,,2327000,,77963000,,12385000,-37332000,,,-1606000,-39469000,,,-2.39,-2.39,16496911,16496911,-16523000,-21121000,24927000,,17258000,549000,,,,,2920000,5529000,2991000,3391000,13839000,33139000,2075000,18338000,,,,,,,,,,,,,
50,1217234,2019,130697000,81114000,,34769000,19504000,,130697000,95928000,41000,-311845000,,,,,,26953000,47247000,,12388000,-20294000,,,-1709000,-55469000,,,-2.38,-2.38,23332503,23332503,-14307000,-6105000,29379000,,16895000,62000,,,,,3727000,4943000,9760000,4711000,12005000,33252000,4134000,0,,,,,,,,,,,,,
51,1217234,2020,151736000,71922000,,52736000,34828000,,151736000,95928000,42000,-333813000,,,,,,16249000,92147000,,14514000,-15578000,,,-1434000,-46756000,,,-1.31,-1.31,35638956,35638956,-4007000,-7929000,50268000,,64616000,543000,,,,,4215000,6014000,24057000,5506000,12005000,45541000,4430000,0,,,,,,,,,,,,,
52,1217234,2021,368511000,273097000,,90832000,69217000,,368511000,99000000,49000,-352527000,,,,,,,151600000,,30711000,-24532000,,,-1979000,-21968000,,,-0.52,-0.52,42151617,42151617,-2769000,-22579000,-132000,,38223000,1704000,,,,,5523000,10012000,34624000,9653000,23857000,44355000,10704000,,,,,,,,,,,,,,
53,1217234,2022,566621000,433360000,,100745000,77301000,,566621000,465876000,52000,-383189000,,,,,,,214722000,,48941000,-22528000,,,-1036000,-18714000,,-687000,-0.4,-0.4,46481772,46481772,33431000,-100394000,163149000,,134669000,,188715000,,,,7006000,17186000,59761000,13337000,23857000,50195000,22044000,,,,,,,,,,,,,,
54,1217234,2023,542991000,387849000,,112080000,75975000,,542991000,277679000,52000,-460444000,,,,,,,326123000,,76525000,-29726000,,,-1426000,-30662000,,-30662000,-0.59,-0.59,52241076,52241076,-19294000,47712000,185642000,,348485000,,188855000,,,,,19232000,66312000,9942000,36983000,43051000,35529000,,,,,,,,,,,,,,
55,1217234,2024,466826000,313713000,,205498000,78072000,,466826000,465876000,49000,-678269000,,,,,,,399024000,,90388000,-77231000,,,379000,-76613000,,-76613000,-1.44,-1.44,53321625,53321625,-25239000,-228502000,-4535000,,89921000,,,,,,,19471000,51061000,12872000,37523000,45701000,35246000,,,,,,,,,,,,,,
63,1866550,2021,1475223000,711766000,,667711000,118157000,,1475223000,547832000,356000,106458000,,,,,,,,203886000,,75898000,26428000,,19417000,28420000,0,28420000,0.1,0.1,277762271,281495640,29271000,-18597000,-6564000,,490841000,18696000,0,189000000,,,15776000,,113183000,4349000,314037000,402055000,26347000,435192000,,,,,,,,,,,,,
64,1866550,2022,1484150000,678939000,,775659000,180530000,,1484150000,394988000,356000,-42208000,,,,,,,,189850000,,120486000,25767000,,23106000,78973000,0,72823000,0.26,0.26,278225009,284615995,125296000,-14993000,318197000,,490841000,15125000,0,0,,,17479000,,145874000,4773000,318151000,398867000,34500000,497380000,,,,,,,,,,,,,
65,1866550,2023,1461850000,556690000,,683628000,179570000,,1461850000,484770000,366000,-123514000,,,,,,,,333904000,,48761000,25456000,,16740000,-575000,59642000,-60217000,-0.24,-0.24,254271997,254271997,118304000,-70309000,-140630000,,368209000,26068000,1873000,315003000,,,17599000,,201695000,5248000,346719000,397047000,38798000,391856000,,,,,,,,,,,,,
66,1866550,2024,1327236000,428358000,,554106000,159280000,,1327236000,778222000,373000,-193580000,,,,,,,,86340000,,5652000,6862000,,7359000,-8107000,,-8107000,-0.03,-0.03,316451601,316451601,33047000,-17555000,-102041000,,109268000,1657000,,,,,5542000,,167942000,2767000,424565000,,26046000,286035000,,,,,,,,,,,,,
67,1337619,2014,221242000,79407000,,73470000,53023000,,221242000,147772000,228000,-33617000,,158000,46625000,,,,,,,3042000,3000,,2603000,465000,,465000,0.01,0.01,32162672,33341615,,,,,64909000,4838000,,,,,4685000,,19848000,5528000,65644000,35698000,12766000,,,,,,,,,,,,,,
68,1337619,2015,221242000,241995000,,235867000,64680000,,439358000,201435000,232000,-19443000,,556000,242535000,,,,,,,5512000,626000,,2052000,,,3660000,0.11,0.1,33191088,35666575,,,,,29983000,6125000,,,,,5151000,,20345000,4869000,74335000,58654000,12766000,,,,,,,,,,,,,,
69,1337619,2016,876249000,111713000,,435422000,117521000,,876249000,439529000,270000,-15007000,,398000,348748000,,,,,,,21252000,626000,,8528000,,,14174000,0.41,0.38,34559558,36877599,,,,,49942000,6177000,,,,,5910000,,46756000,10420000,104976000,292675000,28681000,,,,,,,,,,,,,,
70,1337619,2017,872401000,113084000,,458214000,155954000,,872401000,412889000,278000,-70574000,,398000,420919000,,,,,,,18992000,10271000,,4552000,,,4436000,0.12,0.12,36500843,38386873,42035000,-344621000,144550000,-158036000,209754000,9184000,,,,,7668000,,44268000,11480000,4581000,265558000,33000000,,,,,,,,,,,,,,
71,1337619,2018,862052000,131107000,,424482000,140355000,,862052000,436272000,287000,-73854000,,398000,,,,,,,,-23444000,16600000,,15077000,,,-55567000,-1.3,-1.3,42814222,42814222,83146000,-57927000,-22345000,-13113000,52592000,13967000,,,,,14838000,,51522000,11097000,431936000,222731000,35909000,,,,,,,,,,,,,,
72,1337619,2019,1313747000,380906000,,681145000,343296000,,1313747000,633700000,306000,-58882000,,-1098000,683679000,,,,,,,16420000,16347000,,1591000,-3280000,,-3280000,-0.08,-0.08,43732148,43732148,108250000,-29019000,-72083000,,60115000,14945000,,,,,15383000,,68004000,19567000,432955000,305241000,44991000,,,,,,,,,,,,,,
73,1337619,2020,1801884000,182503000,,934308000,203790000,,1801884000,869094000,331000,-75664000,,-1518000,812363000,,,,,,,14165000,25203000,,-13172000,5755000,,5755000,0.13,0.12,45268002,47384085,117385000,-241679000,352294000,,289345000,20524000,,,,,15737000,,67815000,17277000,519102000,505589000,53756000,,,,,,,,,,,,,,
74,1337619,2021,2144290000,505199000,,1168472000,236369000,,2144290000,976337000,339000,-79912000,,-519000,,,,,,,,-16073000,32520000,,-30893000,-16782000,,,-0.33,-0.33,50937919,50937919,108726000,-375708000,60465000,,82505000,19847000,,,,,20777000,,80064000,18003000,879850000,435041000,,756503000,,,,,,,,,,,,,
75,1337619,2022,2241182000,567276000,,1281640000,288723000,,2241182000,957089000,344000,-37988000,,2453000,,,,,,,,19441000,31504000,,-5401000,-3110000,,,-0.06,-0.06,53589232,53589232,169836000,-99996000,232950000,,384565000,12088000,,,,,21432000,,95291000,19092000,906773000,400396000,,848862000,,,,,,,,,,,,,
76,1337619,2023,2112165000,305232000,,1344561000,327064000,,2112165000,754567000,350000,-118927000,,13037000,,,,,,,,40541000,16931000,,7667000,13296000,,,0.24,0.24,54470975,55384096,250577000,-176138000,-29170000,,429279000,23731000,,,,,117767000,,101696000,11271000,925154000,379995000,,871769000,,,,,,,,,,,,,
77,1337619,2024,1877252000,263808000,,1302746000,292534000,,1877252000,568191000,355000,-357651000,,6315000,,,,,,,,-11057000,,,23769000,-41228000,,,-0.76,-0.76,54143259,54143259,-33673000,-58756000,-20660000,,91378000,4402000,,,,,31520000,,120958000,35738000,806563000,338068000,,876612000,,,,,,,,,,,,,
78,1447028,2014,71716000,70343000,,12522000,12522000,,71716000,5228000,216702000,-167027000,,,14105000,,,,27050000,,18043000,-12945000,,,,29611000,,,2.16,2.07,13727925,14320814,32908000,-12000,4547000,37993000,9031000,15000,4070000,,,,,,117000,,,,1373000,,,,,,,,,,,,,,
79,1447028,2015,118178000,116418000,,30143000,20206000,,118178000,40919000,290004000,-205864000,,,15465000,,,,27617000,,21458000,-12152000,,,0,-14063000,,,-0.92,-0.92,15302680,15302680,-6737000,-725000,32716000,21693000,47024000,725000,30000000,,,,,,1903000,,0,0,1760000,,,,,,,,,,,,,,
80,1447028,2016,712291000,183882000,,164612000,10578000,,712291000,59194000,834240000,-266985000,,,14953000,,,,48387000,,38713000,-33434000,,,0,-38837000,,,-1.8,-1.8,21603136,21603136,-12421000,-42958000,60676000,3470000,68717000,1056000,60562000,,,,,,1008000,,162514000,352642000,3183000,,,,,,,,,,,,,,
81,1447028,2017,275919000,132564000,,72914000,10585000,,275919000,88035000,867393000,-651149000,,,23276000,,,,127195000,,51505000,-103919000,0,,-16185000,-62718000,0,-62718000,-1.38,-1.38,45462324,45462324,-56382000,7682000,143870000,94592000,72187000,2287000,151875000,,,,,,273000,,24364000,99445000,6945000,,,,,,,,,,,,,,
82,1447028,2018,237161000,129366000,,54688000,14627000,,237161000,203005000,876108000,-738070000,,,235000,,,,18534000,,13872000,-18299000,42000,,0,-18627000,0,-18627000,-0.68,-0.68,54478221,54478221,-17535000,23195000,354000,6438000,23413000,3423000,,,,,,,402000,,24364000,58647000,12183000,,,,,,,,,,,,,,
83,1447028,2019,227905000,129229000,,27671000,11239000,,227905000,182473000,879405000,-805221000,,,1436000,,,,19841000,,13949000,-18405000,104000,,-4282000,-17429000,2336000,-19765000,-0.35,-0.35,55149674,55149674,-19967000,-75666000,54367000,-17350000,54292000,248000,66265000,,,,,,1431000,,22471000,43836000,10145000,,,,,,,,,,,,,,
84,1447028,2020,105535000,93828000,,32791000,7828000,,105535000,200234000,898535000,-970093000,,,679000,,,,19875000,,14712000,-19196000,12000,,0,-23251000,2715000,-25966000,,,,,-16580000,61033000,2536000,,31799000,31000,2248000,,,,,,1204000,,0,,8676000,,,,,,,,,,,,,,
85,1447028,2021,137080000,127704000,,35114000,9541000,,137080000,72744000,985939000,-1045961000,,,1491000,,,,14638000,,10416000,-13147000,1041000,,0,-13861000,2978000,-16839000,-0.25,-0.25,67683586,67683586,-15453000,-2401000,12481000,,52251000,0,12315000,,,,,,1312000,,,,6927000,,,,,,,,,,,,,,
86,1447028,2022,204485000,160661000,,35046000,11221000,,204485000,101966000,1286636000,-1134347000,,,2113000,,,,17789000,,13782000,-15676000,772000,,0,-16381000,3212000,-19593000,-0.21,-0.21,93434378,93434378,-17881000,18221000,26874000,,109282000,99000,,,,,,,899000,,,,5983000,,,,,,,,,,,,,,
87,1447028,2023,195419000,151139000,,58567000,32857000,,195419000,169439000,1318737000,-1203803000,,,12581000,,,,23555000,,18462000,-10974000,506000,,4444000,-15765000,,,-0.11,-0.11,148428326,148428326,20619000,-60056000,11485000,,30776000,75000,,,,,,,1352000,,,,5070000,,,,,,,,,,,,,,
88,1447028,2024,144401000,132027000,,38383000,22487000,,144401000,136852000,1349821000,-1276652000,,,6687000,,,,24100000,,18275000,-17413000,198000,,0,-16339000,,,-0.1,-0.1,161643404,161643404,-27301000,16678000,20417000,,26285000,117000,,,,,,,1776000,,,,4674000,,,,,,,,,,,,,,
89,1262976,2014,601567000,100231000,,412006000,155026000,,601567000,450093000,615000,299144000,,,,1020269000,,,,,19707000,55174000,,,11851000,43994000,,,1.16,1.13,37813504,38953179,140641000,-232268000,-79167000,-174349000,236552000,46420000,1394000,,,408500000,59427000,7620000,22026000,22597000,140429000,30337000,280022000,230000000,8750000,,,,,,,,,,,,
90,1262976,2015,988985000,157941000,,745368000,241501000,,988985000,189287000,615000,342840000,,,,1167478000,,,,,24690000,46124000,,,9387000,29435000,,,0.89,0.85,33209172,34472004,140012000,-98931000,-53255000,-12138000,62203000,78999000,4805000,,104125000,113712000,64325000,12138000,23515000,52770000,140893000,,352221000,410484000,37575000,,,,,,,,,,,,
91,1262976,2016,1299795000,216098000,,992638000,305678000,,1299795000,189561000,615000,435052000,,,,1270236000,,,,,26423000,85914000,,,10590000,43696000,,,1.33,1.28,32873234,34239909,153739000,-306984000,164449000,12443000,50065000,72122000,4425000,,274854000,482800000,72282000,18356000,32145000,65875000,317187000,151063000,467511000,493039000,21057000,,,,,,,,,,,,
92,1262976,2017,1463869000,200768000,,1232492000,335863000,,1463869000,232457000,615000,486482000,,,,1494206000,,,,,30849000,96324000,,,10441000,92212000,,,2.82,2.73,32644870,33816498,242022000,-217190000,25166000,41076000,62508000,75813000,13123000,,588293000,367500000,97500000,18125000,32327000,86682000,400629000,,493163000,656794000,21717000,,,,,,,,,,,,
93,1262976,2018,1679869000,246001000,,1559245000,449483000,,1679869000,248907000,615000,414771000,,213000,1788044000,1788044000,,,,,,78193000,,,15684000,54349000,,,1.72,1.64,31656234,33049454,247358000,-265538000,-5338000,-26158000,103584000,80435000,4705000,,430622000,598008000,131918000,46563000,48630000,127386000,466005000,,511947000,847730000,28926000,,,,,,,,,,,,
94,1262976,2019,1652217000,239296000,,1472119000,481024000,,1652217000,165725000,615000,452756000,,285000,2135405000,,,,,,,-45702000,,,-7118000,-71711000,,,-2.29,-2.29,31291581,31291581,156736000,-301789000,104578000,-51729000,77426000,74157000,6192000,,539913000,737075000,158400000,60602000,55621000,152436000,514963000,,483664000,767585000,59259000,,,,,,,,,,,,
95,1262976,2020,1868376000,240300000,,1673382000,520749000,,1868376000,74999000,615000,537422000,,,2592541000,,,,,,41451000,157800000,,,19578000,43733000,,,1.41,1.36,30948081,32220401,192332000,-10594000,-177757000,3841000,25697000,60930000,,,974781000,805995000,169005000,66310000,60646000,185096000,718880000,,490755000,942290000,81277000,,,,,,,,,,,,
96,1262976,2021,1815006000,248404000,,2153376000,486758000,,1815006000,93662000,615000,618437000,,,2751076000,,,,,,40976000,163607000,,,33432000,95052000,,,3.09,3,30786349,31662705,331095000,-420166000,81989000,,44227000,70563000,,,947696000,1140607000,173771000,80179000,34596000,163891000,718880000,,338659000,1415657000,17933000,,,,,,,,,,,,
97,1262976,2022,2182498000,528498000,,2560749000,638173000,,2182498000,-131812000,615000,537677000,,79593000,2481358000,,,,,,49201000,55969000,,,-80992000,83365000,,,3.07,3,27180744,27773286,338444000,-66864000,-258255000,,45021000,50467000,,,1337334000,1281490000,167943000,70044000,50679000,199831000,621904000,,328679000,1732511000,9895000,,,,,,,,,,,,
98,1262976,2023,2167672000,626315000,,2531111000,692539000,,2167672000,-407476000,615000,515869000,,131483000,2575961000,,,,,,49254000,123510000,,,18903000,-85229000,,,-3.28,-0.26,25996572,26493258,265221000,-354316000,224128000,,277053000,38524000,,,1242606000,665682000,173212000,126728000,63885000,313710000,726979000,,286826000,1675562000,10386000,,,,,,,,,,,,
99,1262976,2024,1854859000,441027000,,2466652000,645332000,,1854859000,-449371000,615000,235396000,,459000,2887555000,,,,,,56996000,47298000,,,59901000,-54331000,,,-2.08,-2.08,26094842,26094842,219536000,-3997000,-106572000,,130313000,54040000,,,14510000,0,175681000,107835000,67353000,285784000,766600000,,287574000,1627243000,10713000,,,,,,,,,,,,
106,1810031,2020,97390000,89046000,,12434000,12434000,,97390000,12220000,,-119668000,,,,,,,40981000,,34191000,-40981000,,,27000,-33283000,0,,,,,,-25773000,-3749000,38134000,,16051000,3714000,7211,,,,,,97000,5817000,,43000,7272000,,,,,,,,,,,,,,
107,1810031,2021,268612000,258176000,,18812000,18812000,,268612000,22971000,,-215990000,,,,,,,63644000,,47043000,-63644000,,,141000,-53909000,0,,,,,,-52322000,-3022000,114589000,,73702000,2977000,7211,,,,900000,,97000,8093000,,23000,8608000,,,,,,,,,,,,,,
108,1810031,2022,141125000,128292000,,20684000,20684000,,141125000,84956000,,-356381000,,,,,,,102449000,,76149000,-102449000,,,129000,-96322000,,,-6.81,-6.81,14152843,14152843,-94965000,-2388000,242620000,,229974000,2513000,161758000,,,,1900000,,,5187000,,8000,9906000,,,,,,,,,,,,,,
109,1810031,2023,86641000,67627000,,34227000,30966000,,86641000,120441000,,-445353000,,,,,,,28171000,,19948000,-28171000,,,22000,-26733000,,-65973000,-0.63,-0.63,42644340,42644340,-26584000,-526000,25245000,,113098000,526000,25245000,,,,500000,,,10058000,,,9007000,,,,,,,,,,,,,,
111,1053092,2014,854412000000,,,810849000000,,,854412000000,39992000000,4400000000,15169000000,,3571000000,13787000000,,,,,3644000000,,,6495000000,,925000000,1879000000,,,,,,,,,,-3847000000,61376000000,,,147000000,,,,,,,7121000000,210000000,4895000000,,20193000000,,,,,,,,,,,,
112,1053092,2015,904849000000,,,860208000000,,,904849000000,42895000000,4400000000,15877000000,,1746000000,13017000000,,,,,5163000000,,,5310000000,,795000000,-88000000,,,,,,,,,,-2198000000,68081000000,,,59000000,,,,,,,7766000000,249000000,4441000000,,25921000000,,,,,,,,,,,,
113,1053092,2016,803931000000,,,759241000000,,,803931000000,43406000000,4400000000,12427000000,,1284000000,13345000000,,,,,3700000000,,,5327000000,,1012000000,1918000000,,,,,,,,,,24358000000,78000000000,,,10000000,,,,,,,3929000000,196000000,4439000000,,8657000000,,,,,,,,,,,,
116,1053092,2019,772069000000,,,726075000000,,,772069000000,45296000000,4400000000,10179000000,,698000000,20965000000,,,,,7413000000,,,10369000000,,2781000000,-1255000000,,,,,,,-8470000000,9779000000,-12028000000,-11556000000,121066000000,,0,13000000,,,,,,,4056000000,219000000,4530000000,,22419000000,,,,,,,,,,,,
120,1053092,2023,530039000000,,,481563000000,,,530039000000,47871000000,4400000000,7659000000,,605000000,23042000000,,,,,8581000000,,,3668000000,,938000000,-929000000,,,,,,,36893000000,-10139000000,179000000,,138207000000,,,11000000,,,,,,,2868000000,452000000,4106000000,,14489000000,,,,,,,,,,,,
129,1863362,2021,337728000,,,,,,,,,,,,,,,182498000,,,,,41543000,,,,,,,,,,,,,,,,,,,,,,,,7020000,,,,,,,,,,,,,,,,
130,1863362,2022,462135000,,,,,,,,,,,,,,,191314000,,,,,52632000,,,,,,,,,,,,,,,,,,,,,,,,6863000,,,,,,,,,,,,,,,,
131,1863362,2023,450331000,,,,,,,,,,,,,,,230072000,,,,,85579000,,,,,,,,,,,,,,,,,,,,,,,,6803000,,,,,,,,,,,,,,,,
133,7623,2014,32732000,19751372,,14473476,7268872,,32767621,17071222,40466,15637272,,,,8415104,6045941,2369163,1656415,,174000,712748,89463,,442173,819254,,,0.2,0.2,4035052,4047134,1605606,691211,-272192,,1546609,144325,,,,,,14922525,2999903,806207,993729,,11900202,6251959,,,,,,,,,,,,,
134,7623,2015,32846342,20065961,,13594686,6503777,,32846342,18294145,40486,16572519,,,,6237336,4896923,1340413,1635349,,191000,-294936,53939,,-84888,-258312,,,-0.06,-0.06,4046552,4046552,166517,-432032,144480,,207950,432032,,,,,,15089280,2961834,874653,993729,,11680792,5949329,,,,,,,,,,,,,
135,7623,2016,31331608,19962319,,12811742,7338115,,31331608,19251656,40611,15812245,,,,7289129,5236994,2052135,1722986,,162000,329149,79485,,76605,168195,,,0.04,0.04,4050507,4051754,77473,-72072,384924,,511716,86528,,,,,,15699084,2057739,522400,375000,,9694913,4626667,,,,,,,,,,,,,
136,7623,2017,27242590,17621919,,9766311,7056506,,27242590,18519866,41091,14990911,,,,5712681,4084798,1627883,1406915,,140000,220968,67839,,61767,80962,,,0.02,0.02,4074338,4074338,619538,1135948,-1573561,181925,447334,26257,,,,,,13529352,1420051,469481,375000,,7387187,1387118,,,,,,,,,,,,,
137,7623,2018,24379833,14432771,,8388799,5049756,,24379833,17476279,41587,13353830,,,9110522,4421168,3307345,1113823,1466256,,183000,-352433,63794,,-110911,-250029,,,-0.06,-0.06,4126012,4126012,301546,-144094,-470389,-312937,1063716,195020,,,,,,11966722,1910294,673653,375000,,5946957,2748677,,,,,,,,,,,,,
