idpk,CIK,year,assets,CurrentAssets,NoncurrentAssets,liabilities,CurrentLiabilities,NoncurrentLiabilities,LiabilitiesAndStockholdersEquity,equity,CommonStockValue,RetainedEarningsAccumulatedDeficit,AccumulatedOtherComprehensiveIncomeLoss,MinorityInterest,revenues,SalesRevenueNet,CostOfGoodsSold,GrossProfit,OperatingExpenses,SellingGeneralAndAdministrativeExpense,ResearchAndDevelopmentExpense,OperatingIncomeLoss,InterestExpense,IncomeBeforeIncomeTaxes,IncomeTaxExpenseBenefit,NetIncomeLoss,PreferredStockDividendsAndOtherAdjustments,NetIncomeLossAvailableToCommonStockholdersBasic,EarningsPerShareBasic,EarningsPerShareDiluted,WeightedAverageNumberOfSharesOutstandingBasic,WeightedAverageNumberOfDilutedSharesOutstanding,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInFinancingActivities,CashAndCashEquivalentsPeriodIncreaseDecrease,CashAndCashEquivalentsAtCarryingValue,PaymentsToAcquirePropertyPlantAndEquipment,ProceedsFromIssuanceOfCommonStock,PaymentsOfDividends,RepaymentsOfDebt,ProceedsFromIssuanceOfDebt,DepreciationAndAmortization,InventoryNet,AccountsReceivableNetCurrent,AccountsPayableCurrent,Goodwill,IntangibleAssetsNetExcludingGoodwill,PropertyPlantAndEquipmentNet,LongTermDebtNoncurrent,ShortTermBorrowings,IncomeTaxesPayableCurrent,EntityRegistrantName,EntityCentralIndexKey,TradingSymbol,EntityIncorporationStateCountryCode,EntityFilerCategory,DocumentPeriodEndDate,DocumentFiscalPeriodFocus,DocumentFiscalYearFocus,DocumentType,AmendmentFlag,CurrentFiscalYearEndDate
6786,1297996,2023,41484998000,,,21862854000,,,41484998000,17583334000,2887000,-4698313000,,524131000,4427882000,,,,3733873000,,,694009000,293846000,,72799000,1709259000,,1681498000,5.95,5.94,282475000,283222000,1702228000,-1061721000,-590630000,,142698000,,,1379198000,,,1486632000,,,,7937440000,,,,,,,,,,,,,,,,
6787,1297996,2024,44113258000,,,23116937000,,,44113258000,19117534000,3088000,-5262648000,,483973000,4691834000,,,,4101866000,,,589968000,299132000,,31550000,377684000,,336960000,1.18,1.11,286334000,297919000,1659388000,-4699403000,2969149000,,141773000,,,1450637000,,,1577933000,,,,9208497000,,,,,,,,,,,,,,,,
6794,1805087,2020,236800,1222328,,9723485,212800,,236800,0,310,-1000,,,,,,,,,,-185615,,,0,-1000,,-131771,,,,,-212209,-276000000,32121,,32121,,25000,,,,,,,,,,,,,,,,,,,,,,,,
6795,1805087,2021,276767253,557800,,41392640,,,276767253,0,,-15294860,,,,,,,,,,-185615,,,8714,-1000,,-1000,,,,,0,0,32121,,491827,,25000,,,,,,,,,,,,,,,,,,,,,,,,
6796,1805087,2022,146301000,66006000,,152688000,101536000,,146301000,-329836000,1000,-265507000,,,,,,,,11945000,4376000,-16603000,361000,,17000,-18586000,,-52441000,-32.89,-32.89,5712042,5712042,-8294000,17646000,3334000,,28397000,6354000,39000,,,,,13503000,731000,10066000,,15680000,58515000,,,,,,,,,,,,,,
6797,1805087,2023,103324000,23496000,,115790000,78346000,,103324000,-25056000,7000,-322635000,,,,,,,,37706000,7410000,-43082000,135000,,0,-5703000,,-43725000,-0.7,-0.7,62743154,62743154,-35183000,-1963000,42780000,,7412000,1963000,,,,,,6865000,1233000,4131000,,13413000,59335000,,,,,,,,,,,,,,
6799,1311370,2014,2986893000,,,2381139000,,,3011137000,560209000,,203236000,,69789000,1994013000,,,,,,,123885000,81565000,,31100000,84309000,,84316000,0.72,0.65,116953989,129325622,,,,-153601000,1003791000,89301000,,,,,,,,,356657000,,248796000,,,,,,,,,,,,,,
6800,1311370,2015,3011137000,,,2562179000,,,3332236000,706744000,,464655000,,63313000,2064733000,,,,,,,216807000,79381000,,51693000,160212000,,160212000,1.33,1.21,120854267,133737079,,,,-8708000,850190000,60964000,,,,,34750000,,,,364328000,,222569000,,,,,,,,,,,,,,
6801,1311370,2016,3325329000,,,3110468000,,,4477774000,1313455000,1298000,1123728000,,53851000,2363017000,,,,,,,519465000,62570000,,85402000,427277000,,427277000,3.49,3.2,122351836,133813123,,,,225098000,841482000,22184000,,,,,,,,,345453000,,207165000,,,,,,,,,,,,,,
6802,1311370,2017,4477774000,,,3262695000,,,4556508000,1235987000,1298000,1134186000,,57826000,2404767000,,,,,,,-16620000,51159000,,-1009552000,986373000,,986373000,7.87,7.4,125366272,133244546,,,,65503000,1066580000,26629000,,,,,,,,,335402000,,209021000,,,,,,,,,,,,,,
6803,1311370,2018,4556508000,,,3669772000,,,4928677000,1199803000,1298000,1080413000,,59102000,2383663000,,,,,,,517461000,50292000,,123769000,387698000,,387698000,3.11,2.92,124770401,132633630,632601000,-37653000,-479755000,,1158785000,38749000,,,,,,,,,320761000,,205301000,,,,,,,,,,,,,,
