idpk,CIK,year,AnnualReportLink,QuarterlyReportLinkQ1,QuarterlyReportLinkQ2,QuarterlyReportLinkQ3,QuarterlyReportLinkQ4
2178,789460,2017,https://www.sec.gov/Archives/edgar/data/789460/000162828018002457/a2017q410-k.htm,https://www.sec.gov/Archives/edgar/data/789460/000162828017004476/a2017q110qdoc.htm,https://www.sec.gov/Archives/edgar/data/789460/000162828017007371/a2017q210qdoc.htm,https://www.sec.gov/Archives/edgar/data/789460/000162828017010441/a2017q310qdoc.htm,
2179,789460,2016,https://www.sec.gov/Archives/edgar/data/789460/000162828017001482/a201610-k.htm,https://www.sec.gov/Archives/edgar/data/789460/000155837016004985/int-20160331x10q.htm,https://www.sec.gov/Archives/edgar/data/789460/000155837016006982/int-20160630x10q.htm,https://www.sec.gov/Archives/edgar/data/789460/000162828016020477/a2016q310qadoc.htm,
2180,789460,2015,https://www.sec.gov/Archives/edgar/data/789460/000155837016003246/int-20151231x10k.htm,https://www.sec.gov/Archives/edgar/data/789460/000155837015000648/int-20150331x10q.htm,https://www.sec.gov/Archives/edgar/data/789460/000155837015001275/int-20150630x10q.htm,https://www.sec.gov/Archives/edgar/data/789460/000155837015001990/int-20150930x10q.htm,
2181,789460,2014,https://www.sec.gov/Archives/edgar/data/789460/000155837015000073/int-20141231x10k.htm,https://www.sec.gov/Archives/edgar/data/789460/000110465914032705/a14-9298_110q.htm,https://www.sec.gov/Archives/edgar/data/789460/000110465914054975/a14-13976_110q.htm,https://www.sec.gov/Archives/edgar/data/789460/000155837014000235/int-20140930x10q.htm,
2182,1591588,2024,https://www.sec.gov/Archives/edgar/data/1591588/000095017024106317/amrk-20240630.htm,https://www.sec.gov/Archives/edgar/data/1591588/000095017024057222/amrk-20240331.htm,,https://www.sec.gov/Archives/edgar/data/1591588/000095017024124015/amrk-20240930.htm,https://www.sec.gov/Archives/edgar/data/1591588/000095017025016909/amrk-20241231.htm
2183,1591588,2023,https://www.sec.gov/Archives/edgar/data/1591588/000095017023047575/amrk-20230630.htm,https://www.sec.gov/Archives/edgar/data/1591588/000095017023019919/amrk-20230331.htm,,https://www.sec.gov/Archives/edgar/data/1591588/000095017023061277/amrk-20230930.htm,https://www.sec.gov/Archives/edgar/data/1591588/000095017024012899/amrk-20231231.htm
2184,1591588,2022,https://www.sec.gov/Archives/edgar/data/1591588/000095017022018068/amrk-20220630.htm,https://www.sec.gov/Archives/edgar/data/1591588/000095017022008189/amrk-20220331.htm,,https://www.sec.gov/Archives/edgar/data/1591588/000095017022023431/amrk-20220930.htm,https://www.sec.gov/Archives/edgar/data/1591588/000095017023002032/amrk-20221231.htm
2185,1591588,2021,https://www.sec.gov/Archives/edgar/data/1591588/000156459021047959/amrk-10ka_20210630.htm,https://www.sec.gov/Archives/edgar/data/1591588/000156459021027773/amrk-10q_20210331.htm,,https://www.sec.gov/Archives/edgar/data/1591588/000156459021055022/amrk-10q_20210930.htm,https://www.sec.gov/Archives/edgar/data/1591588/000095017022000913/amrk-20211231.htm
2186,1591588,2020,https://www.sec.gov/Archives/edgar/data/1591588/000156459020043316/amrk-10k_20200630.htm,https://www.sec.gov/Archives/edgar/data/1591588/000156459020023508/amrk-10q_20200331.htm,,https://www.sec.gov/Archives/edgar/data/1591588/000156459020053626/amrk-10q_20200930.htm,https://www.sec.gov/Archives/edgar/data/1591588/000156459021005305/amrk-10q_20201231.htm
2187,1591588,2019,https://www.sec.gov/Archives/edgar/data/1591588/000159158820000010/a-mark10xkaw2019junfs.htm,https://www.sec.gov/Archives/edgar/data/1591588/000159158819000014/a-mark10xqw2019marfs.htm,,https://www.sec.gov/Archives/edgar/data/1591588/000159158819000043/a-mark10xqw2019sepfs.htm,https://www.sec.gov/Archives/edgar/data/1591588/000159158820000013/a-mark10xqw2019decfs.htm
