idpk,CIK,year,AnnualReportLink,QuarterlyReportLinkQ1,QuarterlyReportLinkQ2,QuarterlyReportLinkQ3,QuarterlyReportLinkQ4
18,0000069488,2019,https://www.sec.gov/Archives/edgar/data/69488/000156459020009170/mye-10k_20191231.htm,https://www.sec.gov/Archives/edgar/data/69488/000156459019016886/mye-10q_20190331.htm,https://www.sec.gov/Archives/edgar/data/69488/000156459019028374/mye-10q_20190630.htm,https://www.sec.gov/Archives/edgar/data/69488/000156459019040371/mye-10q_20190930.htm,
19,0000069488,2018,https://www.sec.gov/Archives/edgar/data/69488/000156459019007003/mye-10k_20181231.htm,https://www.sec.gov/Archives/edgar/data/69488/000156459018011126/mye-10q_20180331.htm,https://www.sec.gov/Archives/edgar/data/69488/000156459018019047/mye-10q_20180630.htm,https://www.sec.gov/Archives/edgar/data/69488/000156459018027129/mye-10q_20180930.htm,
20,0000069488,2017,https://www.sec.gov/Archives/edgar/data/69488/000156459018005141/mye-10k_20171231.htm,https://www.sec.gov/Archives/edgar/data/69488/000156459017009276/mye-10q_20170331.htm,https://www.sec.gov/Archives/edgar/data/69488/000156459017015528/mye-10q_20170630.htm,https://www.sec.gov/Archives/edgar/data/69488/000156459017022015/mye-10q_20170930.htm,
21,0000069488,2016,https://www.sec.gov/Archives/edgar/data/69488/000156459017003837/mye-10k_20161231.htm,https://www.sec.gov/Archives/edgar/data/69488/000156459016017289/mye-10q_20160331.htm,https://www.sec.gov/Archives/edgar/data/69488/000156459016022741/mye-10q_20160630.htm,https://www.sec.gov/Archives/edgar/data/69488/000156459016028115/mye-10q_20160930.htm,
22,0000069488,2015,https://www.sec.gov/Archives/edgar/data/69488/000156459016014716/mye-10k_20151231.htm,https://www.sec.gov/Archives/edgar/data/69488/000006948815000011/mye-0331x2015x10q.htm,https://www.sec.gov/Archives/edgar/data/69488/000006948815000016/mye-0630x2015x10q.htm,https://www.sec.gov/Archives/edgar/data/69488/000006948815000020/mye-09302015x10q.htm,
23,0000069488,2014,https://www.sec.gov/Archives/edgar/data/69488/000006948815000007/mye-20141231x10k.htm,https://www.sec.gov/Archives/edgar/data/69488/000006948814000008/mye-20140331x10q.htm,https://www.sec.gov/Archives/edgar/data/69488/000006948814000011/mye-20140630x10q.htm,https://www.sec.gov/Archives/edgar/data/69488/000006948814000013/mye-20140930x10q.htm,
24,0001527753,2024,https://www.sec.gov/Archives/edgar/data/1527753/000095017025029221/psnl-20241231.htm,https://www.sec.gov/Archives/edgar/data/1527753/000095017024055607/psnl-20240331.htm,https://www.sec.gov/Archives/edgar/data/1527753/000095017024092883/psnl-20240630.htm,https://www.sec.gov/Archives/edgar/data/1527753/000095017024122290/psnl-20240930.htm,
25,0001527753,2023,https://www.sec.gov/Archives/edgar/data/1527753/000095017024022097/psnl-20231231.htm,https://www.sec.gov/Archives/edgar/data/1527753/000095017023017182/psnl-20230331.htm,https://www.sec.gov/Archives/edgar/data/1527753/000095017023039799/psnl-20230630.htm,https://www.sec.gov/Archives/edgar/data/1527753/000095017023060255/psnl-20230930.htm,
26,0001527753,2022,https://www.sec.gov/Archives/edgar/data/1527753/000095017023004139/psnl-20221231.htm,https://www.sec.gov/Archives/edgar/data/1527753/000156459022017858/psnl-10q_20220331.htm,https://www.sec.gov/Archives/edgar/data/1527753/000156459022027773/psnl-10q_20220630.htm,https://www.sec.gov/Archives/edgar/data/1527753/000095017022021272/psnl-20220930.htm,
27,0001527753,2021,https://www.sec.gov/Archives/edgar/data/1527753/000156459022006722/psnl-10k_20211231.htm,https://www.sec.gov/Archives/edgar/data/1527753/000156459021024077/psnl-10q_20210331.htm,https://www.sec.gov/Archives/edgar/data/1527753/000156459021040831/psnl-10q_20210630.htm,https://www.sec.gov/Archives/edgar/data/1527753/000156459021054262/psnl-10q_20210930.htm,
28,0001527753,2020,https://www.sec.gov/Archives/edgar/data/1527753/000156459021008848/psnl-10k_20201231.htm,https://www.sec.gov/Archives/edgar/data/1527753/000156459020022986/psnl-10q_20200331.htm,https://www.sec.gov/Archives/edgar/data/1527753/000156459020037746/psnl-10q_20200630.htm,https://www.sec.gov/Archives/edgar/data/1527753/000156459020051319/psnl-10q_20200930.htm,
29,0001527753,2019,https://www.sec.gov/Archives/edgar/data/1527753/000156459020012826/psnl-10k_20191231.htm,,https://www.sec.gov/Archives/edgar/data/1527753/000156459019031814/psnl-10q_20190630.htm,https://www.sec.gov/Archives/edgar/data/1527753/000156459019043238/psnl-10q_20190930.htm,
30,0001372299,2024,https://www.sec.gov/Archives/edgar/data/1372299/000162828025010271/ocgn-20241231.htm,https://www.sec.gov/Archives/edgar/data/1372299/000162828024023038/ocgn-20240331.htm,https://www.sec.gov/Archives/edgar/data/1372299/000162828024035822/ocgn-20240630.htm,https://www.sec.gov/Archives/edgar/data/1372299/000162828024047846/ocgn-20240930.htm,
